config,gates_before_optimization,depth_before_optimization,gates_after_optimization,depth_after_optimization,time
"circuit_path: ""${BENCHMARK_DIR}/hhl_n7_from_python/hhl_n7_from_python.qasm.preprocessed.new"", omega: 100, layout: One, ",5319,5319,2394,5319,0.57171863
"circuit_path: ""${BENCHMARK_DIR}/hhl_n7_from_python/hhl_n7_from_python.qasm.preprocessed.new"", omega: 200, layout: Dense, ",5319,5319,2383,5319,0.51283157
"circuit_path: ""${BENCHMARK_DIR}/hhl_n7_from_python/hhl_n7_from_python.qasm.preprocessed.new"", omega: 200, layout: One, ",5319,5319,2383,5319,0.51652217
"circuit_path: ""${BENCHMARK_DIR}/hhl_n9_from_python/hhl_n9_from_python.qasm.preprocessed.new"", omega: 50, layout: Dense, ",63392,63392,28082,63392,1.7855492
"circuit_path: ""${BENCHMARK_DIR}/hhl_n9_from_python/hhl_n9_from_python.qasm.preprocessed.new"", omega: 50, layout: One, ",63392,63392,28082,63392,1.702888
"circuit_path: ""${BENCHMARK_DIR}/hhl_n9_from_python/hhl_n9_from_python.qasm.preprocessed.new"", omega: 100, layout: Dense, ",63392,63392,27755,63392,1.6893628
"circuit_path: ""${BENCHMARK_DIR}/hhl_n9_from_python/hhl_n9_from_python.qasm.preprocessed.new"", omega: 100, layout: One, ",63392,63392,27755,63392,1.939002
"circuit_path: ""${BENCHMARK_DIR}/hhl_n9_from_python/hhl_n9_from_python.qasm.preprocessed.new"", omega: 200, layout: Dense, ",63392,63392,27670,63392,2.2707367
"circuit_path: ""${BENCHMARK_DIR}/hhl_n9_from_python/hhl_n9_from_python.qasm.preprocessed.new"", omega: 200, layout: One, ",63392,63392,27670,63392,2.1456819
"circuit_path: ""${BENCHMARK_DIR}/hhl_n11_from_python/hhl_n11_from_python.qasm.preprocessed.new"", omega: 50, layout: Dense, ",629247,629247,296434,629247,14.373828
"circuit_path: ""${BENCHMARK_DIR}/hhl_n11_from_python/hhl_n11_from_python.qasm.preprocessed.new"", omega: 50, layout: One, ",629247,629247,296434,629247,14.280521
