config,gates_before_optimization,depth_before_optimization,gates_after_optimization,depth_after_optimization,n_rounds,time,oracle_time,n_seams_total
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n5.qasm"", omega: 100, ",32147,0,6600,0,80,1.195308,0.60565233,848
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n5.qasm"", omega: 200, ",32147,0,6550,0,76,1.4709643,0.9000189,427
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n5.qasm"", omega: 400, ",32147,0,6549,0,51,1.8646731,1.4116244,213
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n5.qasm"", omega: 800, ",32147,0,6548,0,49,3.8902745,3.4392173,111
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n6.qasm"", omega: 50, ",134632,0,28286,0,104,2.1329458,1.112564,6629
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n6.qasm"", omega: 100, ",134632,0,28267,0,84,1.8228209,0.9189676,3355
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n6.qasm"", omega: 200, ",134632,0,28162,0,96,2.6126738,1.3783687,1774
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n6.qasm"", omega: 400, ",134632,0,27998,0,89,3.9234812,2.801979,905
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n6.qasm"", omega: 800, ",134632,0,27996,0,81,9.480494,8.450789,439
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n7.qasm"", omega: 50, ",546035,0,115799,0,93,5.1166854,2.8917394,26811
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n7.qasm"", omega: 100, ",546035,0,115798,0,87,3.9095664,2.0888278,13383
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n7.qasm"", omega: 200, ",546035,0,115786,0,86,3.8103282,2.1301715,6737
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n7.qasm"", omega: 400, ",546035,0,115549,0,95,6.1650915,3.9411786,3606
"circuit_path: ""${BENCHMARK_DIR}/nwq_statevector_n7.qasm"", omega: 800, ",546035,0,115116,0,102,13.868344,11.564599,1871
